"fips","State","County","IECC15","IECC21","BA15","BA21","Moisture15","Moisture21"
"01001","Alabama","Autauga",3,3,"Hot-Humid","Hot-Humid","A","A"
"01003","Alabama","Baldwin",2,2,"Hot-Humid","Hot-Humid","A","A"
"01005","Alabama","Barbour",3,3,"Hot-Humid","Hot-Humid","A","A"
"01007","Alabama","Bibb",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01009","Alabama","Blount",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01011","Alabama","Bullock",3,3,"Hot-Humid","Hot-Humid","A","A"
"01013","Alabama","Butler",3,3,"Hot-Humid","Hot-Humid","A","A"
"01015","Alabama","Calhoun",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01017","Alabama","Chambers",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01019","Alabama","Cherokee",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01021","Alabama","Chilton",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01023","Alabama","Choctaw",3,3,"Hot-Humid","Hot-Humid","A","A"
"01025","Alabama","Clarke",3,3,"Hot-Humid","Hot-Humid","A","A"
"01027","Alabama","Clay",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01029","Alabama","Cleburne",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01031","Alabama","Coffee",3,2,"Hot-Humid","Hot-Humid","A","A"
"01033","Alabama","Colbert",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01035","Alabama","Conecuh",3,3,"Hot-Humid","Hot-Humid","A","A"
"01037","Alabama","Coosa",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01039","Alabama","Covington",3,2,"Hot-Humid","Hot-Humid","A","A"
"01041","Alabama","Crenshaw",3,3,"Hot-Humid","Hot-Humid","A","A"
"01043","Alabama","Cullman",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01045","Alabama","Dale",3,2,"Hot-Humid","Hot-Humid","A","A"
"01047","Alabama","Dallas",3,3,"Hot-Humid","Hot-Humid","A","A"
"01049","Alabama","DeKalb",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01051","Alabama","Elmore",3,3,"Hot-Humid","Hot-Humid","A","A"
"01053","Alabama","Escambia",3,2,"Hot-Humid","Hot-Humid","A","A"
"01055","Alabama","Etowah",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01057","Alabama","Fayette",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01059","Alabama","Franklin",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01061","Alabama","Geneva",3,2,"Hot-Humid","Hot-Humid","A","A"
"01063","Alabama","Greene",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01065","Alabama","Hale",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01067","Alabama","Henry",3,2,"Hot-Humid","Hot-Humid","A","A"
"01069","Alabama","Houston",3,2,"Hot-Humid","Hot-Humid","A","A"
"01071","Alabama","Jackson",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01073","Alabama","Jefferson",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01075","Alabama","Lamar",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01077","Alabama","Lauderdale",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01079","Alabama","Lawrence",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01081","Alabama","Lee",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01083","Alabama","Limestone",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01085","Alabama","Lowndes",3,3,"Hot-Humid","Hot-Humid","A","A"
"01087","Alabama","Macon",3,3,"Hot-Humid","Hot-Humid","A","A"
"01089","Alabama","Madison",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01091","Alabama","Marengo",3,3,"Hot-Humid","Hot-Humid","A","A"
"01093","Alabama","Marion",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01095","Alabama","Marshall",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01097","Alabama","Mobile",2,2,"Hot-Humid","Hot-Humid","A","A"
"01099","Alabama","Monroe",3,3,"Hot-Humid","Hot-Humid","A","A"
"01101","Alabama","Montgomery",3,3,"Hot-Humid","Hot-Humid","A","A"
"01103","Alabama","Morgan",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01105","Alabama","Perry",3,3,"Hot-Humid","Hot-Humid","A","A"
"01107","Alabama","Pickens",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01109","Alabama","Pike",3,3,"Hot-Humid","Hot-Humid","A","A"
"01111","Alabama","Randolph",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01113","Alabama","Russell",3,3,"Hot-Humid","Hot-Humid","A","A"
"01115","Alabama","St. Clair",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01117","Alabama","Shelby",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01119","Alabama","Sumter",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01121","Alabama","Talladega",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01123","Alabama","Tallapoosa",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01125","Alabama","Tuscaloosa",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01127","Alabama","Walker",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"01129","Alabama","Washington",3,3,"Hot-Humid","Hot-Humid","A","A"
"01131","Alabama","Wilcox",3,3,"Hot-Humid","Hot-Humid","A","A"
"01133","Alabama","Winston",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"02013","Alaska","Aleutians East",7,7,"Very Cold","Very Cold",NA,NA
"02016","Alaska","Aleutians West",8,7,"Very Cold","Very Cold",NA,NA
"02020","Alaska","Anchorage",7,7,"Very Cold","Very Cold",NA,NA
"02050","Alaska","Bethel",8,7,"Subartic","Very Cold",NA,NA
"02060","Alaska","Bristol Bay",7,7,"Very Cold","Very Cold",NA,NA
"02068","Alaska","Denali",7,8,"Very Cold","Very Cold",NA,NA
"02070","Alaska","Dillingham",8,7,"Subarctic","Very Cold",NA,NA
"02090","Alaska","Fairbanks North Star",8,8,"Subarctic","Subarctic",NA,NA
"02100","Alaska","Haines",7,6,"Very Cold","Cold",NA,"A"
"02105","Alaska","Hoonah-Angoon",7,6,"Very Cold","Cold",NA,"A"
"02110","Alaska","Juneau",7,6,"Very Cold","Cold",NA,"A"
"02122","Alaska","Kenai Peninsula",7,7,"Very Cold","Very Cold",NA,NA
"02130","Alaska","Ketchikan Gateway",7,5,"Very Cold","Cold",NA,"C"
"02150","Alaska","Kodiak Island",7,6,"Very Cold","Cold",NA,"A"
"02158","Alaska","Kusilvak",NA,NA,NA,NA,NA,NA
"02164","Alaska","Lake and Peninsula",7,7,"Very Cold","Very Cold",NA,NA
"02170","Alaska","Matanuska-Susitna",7,7,"Very Cold","Very Cold",NA,NA
"02180","Alaska","Nome",8,8,"Subarctic","Subarctic",NA,NA
"02185","Alaska","North Slope",8,8,"Subarctic","Subarctic",NA,NA
"02188","Alaska","Northwest Arctic",8,8,"Subarctic","Subarctic",NA,NA
"02195","Alaska","Petersburg",7,6,"Very Cold","Cold",NA,"A"
"02198","Alaska","Prince of Wales-Hyder",7,5,"Very Cold","Cold",NA,"C"
"02220","Alaska","Sitka",7,5,"Very Cold","Cold",NA,"C"
"02230","Alaska","Skagway",7,6,"Very Cold","Cold",NA,"A"
"02240","Alaska","Southeast Fairbanks",8,8,"Subarctic","Subarctic",NA,NA
"02261","Alaska","Valdez-Cordova",7,7,"Very Cold","Very Cold",NA,NA
"02275","Alaska","Wrangell",7,6,"Very Cold","Cold",NA,"A"
"02282","Alaska","Yakutat",7,7,"Very Cold","Very Cold",NA,NA
"02290","Alaska","Yukon-Koyukuk",8,8,"Subarctic","Subarctic",NA,NA
"04001","Arizona","Apache",5,5,"Cold","Cold","B","B"
"04003","Arizona","Cochise",3,3,"Hot-Dry","Hot-Dry","B","B"
"04005","Arizona","Coconino",5,5,"Cold","Cold","B","B"
"04007","Arizona","Gila",4,4,"Mixed-Dry","Mixed-Dry","B","B"
"04009","Arizona","Graham",3,3,"Hot-Dry","Hot-Dry","B","B"
"04011","Arizona","Greenlee",3,3,"Hot-Dry","Hot-Dry","B","B"
"04012","Arizona","La Paz",2,2,"Hot-Dry","Hot-Dry","B","B"
"04013","Arizona","Maricopa",2,2,"Hot-Dry","Hot-Dry","B","B"
"04015","Arizona","Mohave",3,3,"Hot-Dry","Hot-Dry","B","B"
"04017","Arizona","Navajo",5,5,"Cold","Cold","B","B"
"04019","Arizona","Pima",2,2,"Hot-Dry","Hot-Dry","B","B"
"04021","Arizona","Pinal",2,2,"Hot-Dry","Hot-Dry","B","B"
"04023","Arizona","Santa Cruz",3,3,"Hot-Dry","Hot-Dry","B","B"
"04025","Arizona","Yavapai",4,4,"Mixed-Dry","Mixed-Dry","B","B"
"04027","Arizona","Yuma",2,2,"Hot-Dry","Hot-Dry","B","B"
"05001","Arkansas","Arkansas",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"05003","Arkansas","Ashley",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"05005","Arkansas","Baxter",4,4,"Mixed-Humid","Mixed-Humid","A","A"
"05007","Arkansas","Benton",4,4,"Mixed-Humid","Mixed-Humid","A","A"
"05009","Arkansas","Boone",4,4,"Mixed-Humid","Mixed-Humid","A","A"
"05011","Arkansas","Bradley",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"05013","Arkansas","Calhoun",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"05015","Arkansas","Carroll",4,4,"Mixed-Humid","Mixed-Humid","A","A"
"05017","Arkansas","Chicot",3,3,"Mixed-Humid","Mixed-Humid","A","A"
"05019","Arkansas","Clark",3,3,"Mixed-Humid","Mixed-Humid","A","A"
